Frame,Time,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
1,0.000,6.0103E-14,6.9317E-14,-1.3378E-14,1.3073E-13,1.5903E-13,3.4032E-13,6.9645E-14,1.7460E-13,-1.2722E-14,0.0000E+00,-6.2300E-14,-2.7858E-13
2,0.042,-1.0031E+00,9.8926E-01,1.4708E+00,2.8469E+00,5.4398E+00,3.3466E+00,3.9690E+00,4.9973E-01,-5.5728E-06,-5.5728E-06,-1.0031E+00,-9.8926E-01
3,0.084,-2.0197E+00,1.9621E+00,2.7781E+00,5.1696E+00,1.0156E+01,5.6636E+00,7.3775E+00,4.9395E-01,1.2333E-05,1.2334E-05,-2.0197E+00,-1.9621E+00
4,0.126,-3.0209E+00,2.8895E+00,3.3281E+00,6.0764E+00,1.3099E+01,5.1624E+00,9.7709E+00,-9.1403E-01,-6.3951E-07,-6.3958E-07,-3.0209E+00,-2.8895E+00
5,0.168,-3.9976E+00,3.7642E+00,4.0525E+00,6.9987E+00,1.6008E+01,4.7315E+00,1.1956E+01,-2.2672E+00,7.8753E-06,7.8775E-06,-3.9976E+00,-3.7642E+00
6,0.210,-4.9326E+00,4.5737E+00,4.8495E+00,7.8830E+00,1.8744E+01,4.2625E+00,1.3895E+01,-3.6205E+00,6.7318E-06,6.7353E-06,-4.9326E+00,-4.5737E+00
7,0.252,-5.8076E+00,5.3067E+00,5.6547E+00,8.7438E+00,2.1241E+01,3.7830E+00,1.5586E+01,-4.9608E+00,1.5284E-06,1.5297E-06,-5.8076E+00,-5.3067E+00
8,0.294,-6.6033E+00,5.9534E+00,6.4089E+00,9.6028E+00,2.3443E+01,3.3339E+00,1.7034E+01,-6.2690E+00,1.6324E-05,1.6345E-05,-6.6033E+00,-5.9534E+00
9,0.336,-7.3006E+00,6.5054E+00,7.0542E+00,1.0484E+01,2.5296E+01,2.9589E+00,1.8241E+01,-7.5249E+00,-2.3012E-05,-2.3051E-05,-7.3006E+00,-6.5054E+00
10,0.378,-7.8803E+00,6.9555E+00,7.5225E+00,1.1410E+01,2.6736E+01,2.7015E+00,1.9214E+01,-8.7086E+00,3.8297E-06,3.8378E-06,-7.8803E+00,-6.9555E+00
11,0.420,-8.3250E+00,7.2980E+00,7.7442E+00,1.2405E+01,2.7698E+01,2.6029E+00,1.9953E+01,-9.8019E+00,-7.0551E-07,-7.0725E-07,-8.3250E+00,-7.2980E+00
12,0.462,-8.6196E+00,7.5287E+00,7.6471E+00,1.3485E+01,2.8106E+01,2.6934E+00,2.0459E+01,-1.0792E+01,-1.2347E-07,-1.2381E-07,-8.6196E+00,-7.5287E+00
13,0.504,-8.7521E+00,7.6448E+00,7.1457E+00,1.4667E+01,2.7865E+01,2.9984E+00,2.0719E+01,-1.1669E+01,-5.9069E-09,-5.9234E-09,-8.7521E+00,-7.6448E+00
14,0.546,-8.7176E+00,7.6448E+00,6.1841E+00,1.5954E+01,2.6915E+01,3.5229E+00,2.0731E+01,-1.2431E+01,-4.3308E-09,-4.3424E-09,-8.7176E+00,-7.6448E+00
15,0.588,-8.5225E+00,7.5287E+00,4.8078E+00,1.7345E+01,2.5336E+01,4.2608E+00,2.0528E+01,-1.3084E+01,-9.6627E-08,-9.6863E-08,-8.5225E+00,-7.5287E+00
16,0.630,-8.1788E+00,7.2980E+00,3.0736E+00,1.8833E+01,2.3229E+01,5.1961E+00,2.0155E+01,-1.3637E+01,-5.5254E-07,-5.5370E-07,-8.1788E+00,-7.2980E+00
17,0.672,-7.7014E+00,6.9554E+00,1.0342E+00,2.0404E+01,2.0682E+01,6.2966E+00,1.9648E+01,-1.4107E+01,2.9996E-06,3.0046E-06,-7.7014E+00,-6.9554E+00
18,0.714,-7.1066E+00,6.5054E+00,-1.2629E+00,2.2041E+01,1.7777E+01,7.5308E+00,1.9040E+01,-1.4510E+01,-4.3139E-05,-4.3193E-05,-7.1066E+00,-6.5054E+00
19,0.756,-6.4113E+00,5.9534E+00,-3.7748E+00,2.3727E+01,1.4597E+01,8.8619E+00,1.8371E+01,-1.4865E+01,-1.1961E-04,-1.1971E-04,-6.4113E+00,-5.9534E+00
20,0.798,-5.6328E+00,5.3066E+00,-6.4444E+00,2.5444E+01,1.1244E+01,1.0255E+01,1.7688E+01,-1.5190E+01,4.2045E-04,4.2068E-04,-5.6328E+00,-5.3066E+00
21,0.840,-4.7868E+00,4.5737E+00,-9.2212E+00,2.7180E+01,7.8229E+00,1.1675E+01,1.7045E+01,-1.5504E+01,1.4562E-02,1.4567E-02,-4.7868E+00,-4.5737E+00
22,0.882,-3.8880E+00,3.7641E+00,-1.1985E+01,2.8927E+01,4.4986E+00,1.3091E+01,1.6482E+01,-1.5837E+01,-2.2563E-02,-2.2566E-02,-3.8880E+00,-3.7641E+00
23,0.924,-2.9499E+00,2.8895E+00,-1.5592E+01,3.0240E+01,8.9910E-01,1.4768E+01,1.6492E+01,-1.5472E+01,1.3771E-02,1.3771E-02,-2.9499E+00,-2.8895E+00
24,0.966,-1.9839E+00,1.9621E+00,-1.9662E+01,3.1336E+01,-2.7530E+00,1.6743E+01,1.6909E+01,-1.4593E+01,1.5421E-02,1.5421E-02,-1.9839E+00,-1.9621E+00
